Table,Document,URL
Clubs relegated from Série ACampeonato Brasileiro Série A,./data/wiki/wiki_doc/Campeonato Brasileiro Série A.md,https://en.wikipedia.org/wiki/Campeonato_Brasileiro_S%C3%A9rie_A
Current squadBrazil national football team,./data/wiki/wiki_doc/Brazil national football team.md,https://en.wikipedia.org/wiki/Brazil_national_football_team
"Comparison of Union and Confederacy, 1860–1864[245][246] American Civil War",./data/wiki/wiki_doc/American Civil War.md,https://en.wikipedia.org/wiki/American_Civil_War
Electron configurationsPeriodic table,./data/wiki/wiki_doc/Periodic table.md,https://en.wikipedia.org/wiki/Periodic_table
AllotropesCarbon,./data/wiki/wiki_doc/Carbon.md,https://en.wikipedia.org/wiki/Carbon
Pourbaix diagrams[110] Uranium,./data/wiki/wiki_doc/Uranium.md,https://en.wikipedia.org/wiki/Uranium
IronIron,./data/wiki/wiki_doc/Iron.md,https://en.wikipedia.org/wiki/Iron
LithiumLithium,./data/wiki/wiki_doc/Lithium.md,https://en.wikipedia.org/wiki/Lithium
Currently docked_berthedInternational Space Station,./data/wiki/wiki_doc/International Space Station.md,https://en.wikipedia.org/wiki/International_Space_Station
 Apollo 11,./data/wiki/wiki_doc/Apollo 11.md,https://en.wikipedia.org/wiki/Apollo_11
SuccessorsHubble Space Telescope,./data/wiki/wiki_doc/Hubble Space Telescope.md,https://en.wikipedia.org/wiki/Hubble_Space_Telescope
Major milestones James Webb Space Telescope,./data/wiki/wiki_doc/James Webb Space Telescope.md,https://en.wikipedia.org/wiki/James_Webb_Space_Telescope
Summary of achievementsSpaceX,./data/wiki/wiki_doc/SpaceX.md,https://en.wikipedia.org/wiki/SpaceX
JIS transistor prefix table Transistor,./data/wiki/wiki_doc/Transistor.md,https://en.wikipedia.org/wiki/transistor
Genomic diversity among viruses Virus,./data/wiki/wiki_doc/Virus.md,https://en.wikipedia.org/wiki/Virus
TypesCell (biology),./data/wiki/wiki_doc/Cell (biology).md,https://en.wikipedia.org/wiki/Cell_(biology)
"Neutronicity, confinement requirement, and power densityNuclear fusion",./data/wiki/wiki_doc/Nuclear fusion.md,https://en.wikipedia.org/wiki/Nuclear_fusion
Twin paradoxSpecial relativity,./data/wiki/wiki_doc/Special relativity.md,https://en.wikipedia.org/wiki/Special_relativity
Electromagnetic radiation interaction with matter Electromagnetic spectrum,./data/wiki/wiki_doc/Electromagnetic spectrum.md,https://en.wikipedia.org/wiki/Electromagnetic_spectrum
The continuous or average power required for some uses: Laser,./data/wiki/wiki_doc/Laser.md,https://en.wikipedia.org/wiki/Laser
GoldGold,./data/wiki/wiki_doc/Gold.md,https://en.wikipedia.org/wiki/Gold
Pourbaix diagrams for copper Copper,./data/wiki/wiki_doc/Copper.md,https://en.wikipedia.org/wiki/Copper
AluminiumAluminium,./data/wiki/wiki_doc/Aluminium.md,https://en.wikipedia.org/wiki/Aluminium
HeliumHelium,./data/wiki/wiki_doc/Helium.md,https://en.wikipedia.org/wiki/Helium
USB power standards USB,./data/wiki/wiki_doc/USB.md,https://en.wikipedia.org/wiki/USB
Bluetooth device power by class Bluetooth,./data/wiki/wiki_doc/Bluetooth.md,https://en.wikipedia.org/wiki/Bluetooth
Wi-Fi generationsvte Wi-Fi,./data/wiki/wiki_doc/Wi-Fi.md,https://en.wikipedia.org/wiki/Wi-Fi
VersionsJava (programming language),./data/wiki/wiki_doc/Java (programming language).md,https://en.wikipedia.org/wiki/Java_(programming_language)
Genetic testingCancer,./data/wiki/wiki_doc/Cancer.md,https://en.wikipedia.org/wiki/Cancer
Order and kineticsPhotosynthesis,./data/wiki/wiki_doc/Photosynthesis.md,https://en.wikipedia.org/wiki/Photosynthesis
Magnetic field,./data/wiki/wiki_doc/Magnetic field.md,https://en.wikipedia.org/wiki/Magnetic_field
Interactions of thermodynamic systems Thermodynamics,./data/wiki/wiki_doc/Thermodynamics.md,https://en.wikipedia.org/wiki/Thermodynamics
Decay modes in NUBASE2020[30] Radioactive decay,./data/wiki/wiki_doc/Radioactive decay.md,https://en.wikipedia.org/wiki/Radioactive_decay
Mass ratiosRocket,./data/wiki/wiki_doc/Rocket.md,https://en.wikipedia.org/wiki/Rocket
Fuel use in vehicle designs Electric vehicle,./data/wiki/wiki_doc/Electric vehicle.md,https://en.wikipedia.org/wiki/Electric_vehicle
Lithium-ion battery,./data/wiki/wiki_doc/Lithium-ion battery.md,https://en.wikipedia.org/wiki/Lithium-ion_battery
Share of total world manufacturing output (percentage)[187] Industrial Revolution,./data/wiki/wiki_doc/Industrial Revolution.md,https://en.wikipedia.org/wiki/Industrial_Revolution
Chlorine oxoacids and oxyanionsChlorine,./data/wiki/wiki_doc/Chlorine.md,https://en.wikipedia.org/wiki/Chlorine
OxoacidsPhosphorus,./data/wiki/wiki_doc/Phosphorus.md,https://en.wikipedia.org/wiki/Phosphorus
Page version statusSulfur,./data/wiki/wiki_doc/Sulfur.md,https://en.wikipedia.org/wiki/Sulfur
Energetics of supernovae Supernova,./data/wiki/wiki_doc/Supernova.md,https://en.wikipedia.org/wiki/Supernova
JavaScript type conversions JavaScript,./data/wiki/wiki_doc/JavaScript.md,https://en.wikipedia.org/wiki/JavaScript
Platform informationAndroid (operating system),./data/wiki/wiki_doc/Android (operating system).md,https://en.wikipedia.org/wiki/Android_(operating_system)
Automatic speech recognitionDeep learning,./data/wiki/wiki_doc/Deep learning.md,https://en.wikipedia.org/wiki/Deep_learning
Comparison of motor types Electric motor,./data/wiki/wiki_doc/Electric motor.md,https://en.wikipedia.org/wiki/Electric_motor
The fourth state of matterPlasma (physics),./data/wiki/wiki_doc/Plasma (physics).md,https://en.wikipedia.org/wiki/Plasma_(physics)
Elementary Particles Particle physics,./data/wiki/wiki_doc/Particle physics.md,https://en.wikipedia.org/wiki/Particle_physics
Common purposesDam,./data/wiki/wiki_doc/Dam.md,https://en.wikipedia.org/wiki/Dam
GPS message format Global Positioning System,./data/wiki/wiki_doc/Global Positioning System.md,https://en.wikipedia.org/wiki/GPS
Radar frequency bands Radar,./data/wiki/wiki_doc/Radar.md,https://en.wikipedia.org/wiki/Radar
The division by age in the Inca empire from the book Daily Life in Peru Under the Last Incas page 103-104[57] Inca Empire,./data/wiki/wiki_doc/Inca Empire.md,https://en.wikipedia.org/wiki/Inca_Empire
US expenditures in South Vietnam (1953–74)Direct costs only[423] Vietnam War,./data/wiki/wiki_doc/Vietnam War.md,https://en.wikipedia.org/wiki/Vietnam_War
